Manufacturer,LCSC Part #,Description,Package,Stock,Type,MFR.Part #,Datasheet,Price (USD),value,tolerance,type,voltage,min_value,max_value
UNIROYAL ELEC,C17501,CHIP RESISTOR - SURFACE MOUNT 180KOHMS ±1% 1/8W 0805 ROHS,0805,36678,CHIP RESISTOR - SURFACE MOUNT,0805W8F1803T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F1803T5E_C17501.pdf,0.0036,180000.0,1.0,Resistor,,178200.0,181800.0
NEXPERIA,C6825,74 SERIES SOIC-14_150MIL ROHS,SOIC-14_150MIL,18404,74 SERIES,"74HC164D,653",https://datasheet.lcsc.com/szlcsc/Nexperia-74HC164D-653_C6825.pdf,0.0962,,5.0,,,,
UNIROYAL ELEC,C17840,CHIP RESISTOR - SURFACE MOUNT 82KOHMS ±1% 1/8W 0805 ROHS,0805,29310,CHIP RESISTOR - SURFACE MOUNT,0805W8F8202T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F8202T5E_C17840.pdf,0.0034,82000.0,1.0,Resistor,,81180.0,82820.0
UNIROYAL ELEC,C17855,CHIP RESISTOR - SURFACE MOUNT 9.1KOHMS ±1% 1/8W 0805 ROHS,0805,27517,CHIP RESISTOR - SURFACE MOUNT,0805W8F9101T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F9101T5E_C17855.pdf,0.0036,9100.0,1.0,Resistor,,9009.0,9191.0
RENESAS ELECTRONICS,C7881,POWER MANAGEMENT SPECIALIZED - PMIC SOIC-8_150MIL ROHS,SOIC-8_150MIL,7169,POWER MANAGEMENT SPECIALIZED - PMIC,ICL7660AIBAZA-T,https://datasheet.lcsc.com/szlcsc/Renesas-Electronics-Intersil-ICL7660AIBAZA-T_C7881.pdf,0.7691,,5.0,,,,
CHANGJIANG ELECTRONICS TECH (CJ),C2149,TRANSISTORS (NPN/PNP) PNP 100MA 45V SOT-23(SOT-23-3) ROHS,SOT-23,158,TRANSISTORS (NPN/PNP),S9015,https://datasheet.lcsc.com/szlcsc/Changjiang-Electronics-Tech-CJ-S9015_C2149.pdf,0.0166,,5.0,,45.0,,
STMICROELECTRONICS,C8314,ST MICROELECTRONICS LQFP-100_14X14X05P ROHS,LQFP-100_14X14X05P,7022,ST MICROELECTRONICS,STM32F103VBT6,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM32F103VBT6_C8314.pdf,2.113,,5.0,,,,
STMICROELECTRONICS,C8315,ST MICROELECTRONICS LQFP-100_14X14X05P ROHS,LQFP-100_14X14X05P,4164,ST MICROELECTRONICS,STM32F107VCT6,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM32F107VCT6_C8315.pdf,3.4868,,5.0,,,,
NXP SEMICON,C6951,CAN 1/1 4.75V ~ 5.25V SOIC-8_150MIL ROHS,SOIC-8_150MIL,12585,CAN,"TJA1040T/CM,118",https://datasheet.lcsc.com/szlcsc/NXP-Semicon-TJA1040T-CM-118_C6951.pdf,0.576,,5.0,,75.0,,
NANJING EXTENSION MICROELECTRONICS,C32574,PMIC - BATTERY MANAGEMENT SOT-23-5 ROHS,SOT-23-5,2999,PMIC - BATTERY MANAGEMENT,TP4054,https://datasheet.lcsc.com/szlcsc/Nanjing-Extension-Microelectronics-TP4054_C32574.pdf,0.1263,,5.0,,,,
ALPHA & OMEGA SEMICON,C16072,"MOSFET P TRENCH 30V 12A 3V @ 250UA 11 M? @ 12A,20V SOIC-8_150MIL ROHS",SOIC-8_150MIL,15129,MOSFET,AO4407A,https://datasheet.lcsc.com/szlcsc/Alpha-Omega-Semicon-AOS-AO4407A_C16072.pdf,0.1579,,5.0,,30.0,,
UNIROYAL ELEC,C25082,CHIP RESISTOR - SURFACE MOUNT 150OHMS ±1% 1/16W 0402 ROHS,0402,66108,CHIP RESISTOR - SURFACE MOUNT,0402WGF1500TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF1500TCE_C25082.pdf,0.0036,150.0,1.0,Resistor,,148.5,151.5
SUNLORD,C32375,INDUCTORS (SMD) 0805 ROHS,0805,60618,INDUCTORS (SMD),SDFL2012T220KTF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDFL2012T220KTF_C32375.pdf,0.0252,,5.0,,,,
ANALOG DEVICES,C9637,"DIGITAL ISOLATORS RS422, RS485 3 2/1 BIDIRECTIONAL 2500VRMS 500KBPS SOIC-16_300MIL ROHS",SOIC-16_300MIL,1789,DIGITAL ISOLATORS,ADM2483BRWZ-REEL,https://datasheet.lcsc.com/szlcsc/Analog-Devices-ADI-ADM2483BRWZ-REEL_C9637.pdf,1.7821,,5.0,,,,
GUANGDONG FENGHUA ADVANCED TECH,C1639,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1.5PF 50V 0603 ROHS,0603,45666,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0603CG1R5C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0603CG1R5C500NT_C1639.pdf,0.0036,5e-12,5.0,Capacitor,50.0,4.75e-12,5.25e-12
GUANGDONG FENGHUA ADVANCED TECH,C1559,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 2.2PF 50V 0402 ROHS,0402,117218,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402CG2R2C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG2R2C500NT_C1559.pdf,0.0041,2e-12,5.0,Capacitor,50.0,1.9e-12,2.1e-12
GUANGDONG FENGHUA ADVANCED TECH,C67560,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 6PF 50V 0805 ROHS,0805,38052,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0805CG6R0C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0805CG6R0C500N_C67560.pdf,0.0165,6e-12,5.0,Capacitor,50.0,5.7e-12,6.3e-12
GUANGDONG FENGHUA ADVANCED TECH,C1576,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 6.8PF 50V 0402 ROHS,0402,55978,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402CG6R8C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG6R8C500NT_C1576.pdf,0.0018,8e-12,5.0,Capacitor,50.0,7.6e-12,8.4e-12
GUANGDONG FENGHUA ADVANCED TECH,C1716,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 150PF 50V 0805 ROHS,0805,46525,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0805B151K500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0805B151K500NT_C1716.pdf,0.0067,1.5e-10,5.0,Capacitor,50.0,1.425e-10,1.575e-10
GUANGDONG FENGHUA ADVANCED TECH,C1724,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 200PF 50V 0805 ROHS,0805,109913,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0805B201K500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0805B201K500NT_C1724.pdf,0.0197,2e-10,5.0,Capacitor,50.0,1.9e-10,2.1000000000000002e-10
SUNLORD,C35050,HF INDUCTORS 33NH ±5% 300MA 0603 ROHS,0603,45238,HF INDUCTORS,SDCL1608C33NJTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1608C33NJTDF_C35050.pdf,0.013,,5.0,,,,
UNIROYAL ELEC,C25086,CHIP RESISTOR - SURFACE MOUNT 1OHMS ±1% 1/16W 0402 ROHS,0402,85634,CHIP RESISTOR - SURFACE MOUNT,0402WGF100KTCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF100KTCE_C25086.pdf,0.0014,1.0,1.0,Resistor,,0.99,1.01
UNIROYAL ELEC,C22107,CHIP RESISTOR - SURFACE MOUNT 1.2MOHMS ±1% 1/4W 1206 ROHS,1206,130530,CHIP RESISTOR - SURFACE MOUNT,1206W4F1204T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-1206W4F1204T5E_C22107.pdf,0.0051,1200000.0,1.0,Resistor,,1188000.0,1212000.0
UNIROYAL ELEC,C23170,CHIP RESISTOR - SURFACE MOUNT 430OHMS ±1% 1/10W 0603 ROHS,0603,29399,CHIP RESISTOR - SURFACE MOUNT,0603WAF4300T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF4300T5E_C23170.pdf,0.0018,430.0,1.0,Resistor,,425.7,434.3
UNIROYAL ELEC,C17695,CHIP RESISTOR - SURFACE MOUNT 43KOHMS ±1% 1/8W 0805 ROHS,0805,26705,CHIP RESISTOR - SURFACE MOUNT,0805W8F4302T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F4302T5E_C17695.pdf,0.0033,43000.0,1.0,Resistor,,42570.0,43430.0
UNIROYAL ELEC,C13320,CHIP RESISTOR - SURFACE MOUNT 5.1MOHMS ±1% 1/10W 0603 ROHS,0603,24434,CHIP RESISTOR - SURFACE MOUNT,0603WAF5104T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF5104T5E_C13320.pdf,0.0023,5100000.0,1.0,Resistor,,5049000.0,5151000.0
SUNLORD,C51725,INDUCTORS (SMD) 0805 ROHS,0805,23286,INDUCTORS (SMD),SDFL2012Q3R3KTF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDFL2012Q3R3KTF_C51725.pdf,0.0172,,5.0,,,,
NEXPERIA,C5590,GATES AND INVERTERS SOIC-14_150MIL ROHS,SOIC-14_150MIL,19185,GATES AND INVERTERS,"74HC04D,653",https://datasheet.lcsc.com/szlcsc/Nexperia-74HC04D-653_C5590.pdf,0.1016,,5.0,,,,
NEXPERIA,C5602,74 SERIES DECODER/DEMULTIPLEXER 2V ~ 6V SOIC-16_150MIL ROHS,SOIC-16_150MIL,1686,74 SERIES,"74HC138D,653",https://datasheet.lcsc.com/szlcsc/Nexperia-74HC138D-653_C5602.pdf,0.1127,,5.0,,2.0,,
UNIROYAL ELEC,C17985,CHIP RESISTOR - SURFACE MOUNT 750OHMS ±1% 1/4W 1206 ROHS,1206,37122,CHIP RESISTOR - SURFACE MOUNT,1206W4F7500T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-1206W4F7500T5E_C17985.pdf,0.0043,750.0,1.0,Resistor,,742.5,757.5
UNISONIC TECH,C75501,LINEAR VOLTAGE REGULATORS SOT-89(SOT-89-3) ROHS,SOT-89,15944,LINEAR VOLTAGE REGULATORS,78L12G-AB3-R,https://datasheet.lcsc.com/szlcsc/Unisonic-Tech-78L12G-AB3-R_C75501.pdf,0.0826,,5.0,,,,
UNIROYAL ELEC,C25924,CHIP RESISTOR - SURFACE MOUNT 8.2KOHMS ±1% 1/16W 0402 ROHS,0402,87225,CHIP RESISTOR - SURFACE MOUNT,0402WGF8201TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF8201TCE_C25924.pdf,0.0011,8200.0,1.0,Resistor,,8118.0,8282.0
TEXAS INSTRUMENTS,C7974,"GENERAL PURPOSE AMPLIFIERS GENERAL PURPOSE 4 2.7V ~ 5.5V, ±1.35V ~ 2.75V 1MHZ 1 V/US SOIC-14_150MIL ROHS",SOIC-14_150MIL,12318,GENERAL PURPOSE AMPLIFIERS,LMV324IDR,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-LMV324IDR_C7974.pdf,0.2746,,5.0,,7.0,,
TDK INVENSENSE,C24112,ATTITUDE SENSORS QFN-24_4X4X05P ROHS,QFN-24_4X4X05P,23692,ATTITUDE SENSORS,MPU-6050,https://datasheet.lcsc.com/szlcsc/TDK-InvenSense-MPU-6050_C24112.pdf,2.1715,,5.0,,,,
STMICROELECTRONICS,C12345,ST MICROELECTRONICS LQFP-100_14X14X05P ROHS,LQFP-100_14X14X05P,726,ST MICROELECTRONICS,STM32F407VGT6,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM32F407VGT6_C12345.pdf,5.0363,,5.0,,,,
GUANGDONG FENGHUA ADVANCED TECH,C1561,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 2.7PF 50V 0402 ROHS,0402,57890,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402CG2R7C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG2R7C500NT_C1561.pdf,0.0018,7e-12,5.0,Capacitor,50.0,6.65e-12,7.35e-12
GUANGDONG FENGHUA ADVANCED TECH,C46219,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 3PF 50V 0603 ROHS,0603,29148,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0603CG3R0C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0603CG3R0C500NT_C46219.pdf,0.0177,3e-12,5.0,Capacitor,50.0,2.85e-12,3.15e-12
GUANGDONG FENGHUA ADVANCED TECH,C1685,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 8.2PF 50V 0603 ROHS,0603,36960,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0603CG8R2C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0603CG8R2C500NT_C1685.pdf,0.0036,2e-12,5.0,Capacitor,50.0,1.9e-12,2.1e-12
GUANGDONG FENGHUA ADVANCED TECH,C1527,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 150PF 50V 0402 ROHS,0402,56842,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402B151K500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402B151K500NT_C1527.pdf,0.0129,1.5e-10,5.0,Capacitor,50.0,1.425e-10,1.575e-10
SAMSUNG ELECTRO-MECHANICS,C30615,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1.2NF 50V 0603 ROHS,0603,100320,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL10B122KB8NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10B122KB8NNNC_C30615.pdf,0.0166,,5.0,,50.0,,
SUNLORD,C27143,HF INDUCTORS 15NH ±5% 300MA 0402 ROHS,0402,57440,HF INDUCTORS,SDCL1005C15NJTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1005C15NJTDF_C27143.pdf,0.0054,,5.0,,,,
SUNLORD,C12100,HF INDUCTORS 27NH ±5% 300MA 0603 ROHS,0603,42464,HF INDUCTORS,SDCL1608C27NJTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1608C27NJTDF_C12100.pdf,0.0128,,5.0,,,,
SUNLORD,C29683,HF INDUCTORS 47NH ±5% 300MA 0603 ROHS,0603,38383,HF INDUCTORS,SDCL1608C47NJTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1608C47NJTDF_C29683.pdf,0.0133,,5.0,,,,
GUANGDONG FENGHUA ADVANCED TECH,C1871,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 470NF 50V 1206 ROHS,1206,55512,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,1206B474K500NT,https://datasheet.lcsc.com/szlcsc/1812121157_Guangdong-Fenghua-Advanced-Tech-1206B474K500NT_C1871.pdf,0.0418,,5.0,,50.0,,
UNIROYAL ELEC,C25725,RESISTOR NETWORKS & ARRAYS 10KOHMS ±5% 1/16W 0402_X4 ROHS,0402_X4,75009,RESISTOR NETWORKS & ARRAYS,4D02WGJ0103TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-4D02WGJ0103TCE_C25725.pdf,0.0053,10000.0,5.0,Resistor,,9500.0,10500.0
YANGXING TECH,C112574,SMD CRYSTAL RESONATORS 11.0592MHZ ±10PPM SMD-5032_2P ROHS,SMD-5032_2P,9649,SMD CRYSTAL RESONATORS,X5032110592MSB2GI,https://datasheet.lcsc.com/szlcsc/Yangxing-Tech-X5032110592MSB2GI_C112574.pdf,0.1679,,5.0,,,,
UNIROYAL ELEC,C22766,CHIP RESISTOR - SURFACE MOUNT 1.2MOHMS ±1% 1/10W 0603 ROHS,0603,247461,CHIP RESISTOR - SURFACE MOUNT,0603WAF1204T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1204T5E_C22766.pdf,0.0023,1200000.0,1.0,Resistor,,1188000.0,1212000.0
UNIROYAL ELEC,C25501,RESISTOR NETWORKS & ARRAYS 33OHMS ±5% 1/16W 0402_X4 ROHS,0402_X4,75218,RESISTOR NETWORKS & ARRAYS,4D02WGJ0330TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-4D02WGJ0330TCE_C25501.pdf,0.0048,33.0,5.0,Resistor,,31.349999999999998,34.65
UNIROYAL ELEC,C23146,CHIP RESISTOR - SURFACE MOUNT 360KOHMS ±1% 1/10W 0603 ROHS,0603,166847,CHIP RESISTOR - SURFACE MOUNT,0603WAF3603T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF3603T5E_C23146.pdf,0.0041,360000.0,1.0,Resistor,,356400.0,363600.0
NEXPERIA,C5593,74 SERIES AND GATE 4 2V ~ 6V SOIC-14_150MIL ROHS,SOIC-14_150MIL,11840,74 SERIES,"74HC08D,653",https://datasheet.lcsc.com/szlcsc/Nexperia-74HC08D-653_C5593.pdf,0.0965,,5.0,,2.0,,
UNIROYAL ELEC,C17841,CHIP RESISTOR - SURFACE MOUNT 82OHMS ±1% 1/8W 0805 ROHS,0805,59407,CHIP RESISTOR - SURFACE MOUNT,0805W8F820JT5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F820JT5E_C17841.pdf,0.0032,82.0,1.0,Resistor,,81.17999999999999,82.82000000000001
UNIROYAL ELEC,C17866,CHIP RESISTOR - SURFACE MOUNT 91KOHMS ±1% 1/8W 0805 ROHS,0805,37369,CHIP RESISTOR - SURFACE MOUNT,0805W8F9102T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F9102T5E_C17866.pdf,0.0036,91000.0,1.0,Resistor,,90090.0,91910.0
UNIROYAL ELEC,C25969,CHIP RESISTOR - SURFACE MOUNT 430KOHMS ±1% 1/10W 0603 ROHS,0603,187599,CHIP RESISTOR - SURFACE MOUNT,0603WAF4303T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF4303T5E_C25969.pdf,0.0018,430000.0,1.0,Resistor,,425700.0,434300.0
UNIROYAL ELEC,C25118,CHIP RESISTOR - SURFACE MOUNT 47OHMS ±1% 1/16W 0402 ROHS,0402,75030,CHIP RESISTOR - SURFACE MOUNT,0402WGF470JTCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF470JTCE_C25118.pdf,0.0011,47.0,1.0,Resistor,,46.53,47.47
LESHAN RADIO,C8492,"MOSFET P TRENCH 50V 130MA 2V @ 250UA 10 ? @ 100MA,5V SOT-23(SOT-23-3) ROHS",SOT-23,28608,MOSFET,LBSS84LT1G,https://datasheet.lcsc.com/szlcsc/Leshan-Radio-LBSS84LT1G_C8492.pdf,0.0225,,5.0,,50.0,,
UNIROYAL ELEC,C22810,CHIP RESISTOR - SURFACE MOUNT 15OHMS ±1% 1/10W 0603 ROHS,0603,28852,CHIP RESISTOR - SURFACE MOUNT,0603WAF150JT5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF150JT5E_C22810.pdf,0.0019,15.0,1.0,Resistor,,14.85,15.15
UNIROYAL ELEC,C22813,CHIP RESISTOR - SURFACE MOUNT 160KOHMS ±1% 1/10W 0603 ROHS,0603,104663,CHIP RESISTOR - SURFACE MOUNT,0603WAF1603T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1603T5E_C22813.pdf,0.0018,160000.0,1.0,Resistor,,158400.0,161600.0
UNIROYAL ELEC,C25270,CHIP RESISTOR - SURFACE MOUNT 180OHMS ±1% 1/8W 0805 ROHS,0805,62872,CHIP RESISTOR - SURFACE MOUNT,0805W8F1800T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F1800T5E_C25270.pdf,0.0034,180.0,1.0,Resistor,,178.2,181.8
UNIROYAL ELEC,C26112,CHIP RESISTOR - SURFACE MOUNT 2MOHMS ±1% 1/8W 0805 ROHS,0805,55771,CHIP RESISTOR - SURFACE MOUNT,0805W8F2004T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F2004T5E_C26112.pdf,0.0038,2000000.0,1.0,Resistor,,1980000.0,2020000.0
MAXIM INTEGRATED,C8959,REAL-TIME CLOCKS CLOCK/CALENDAR 3-WIRE SERIAL 0.3UA ~ 1UA @ 2V ~ 5V SOIC-8_150MIL ROHS,SOIC-8_150MIL,3008,REAL-TIME CLOCKS,DS1302Z+T&R,https://datasheet.lcsc.com/szlcsc/Maxim-Integrated-DS1302Z-T-R_C8959.pdf,0.51,,5.0,,2.0,,
TEXAS INSTRUMENTS,C34465,DC-DC CONVERTERS STEP-DOWN ADJUSTABLE (FIXED) 1 40V 60V 1.23V 37V 3A TO-263-5 ROHS,TO-263-5,11085,DC-DC CONVERTERS,LM2576SX-5.0/NOPB,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-LM2576SX-5-0-NOPB_C34465.pdf,1.4896,,5.0,,40.0,,
UNISONIC TECH,C75510,LINEAR VOLTAGE REGULATORS TO-252-2(DPAK) ROHS,TO-252-2,11817,LINEAR VOLTAGE REGULATORS,LM317AG-TN3-R,https://datasheet.lcsc.com/szlcsc/Unisonic-Tech-LM317AG-TN3-R_C75510.pdf,0.1819,,5.0,,,,
FEELING TECH,C18701,DC-DC CONVERTERS STEP-UP ADJUSTABLE 1 2.6V 5.5V 12V 2A SOT-23-6 ROHS,SOT-23-6,16869,DC-DC CONVERTERS,FP6291LR-G1,https://datasheet.lcsc.com/szlcsc/1812101116_Feeling-Tech-FP6291LR-G1_C18701.pdf,0.1278,,5.0,,6.0,,
FUTURE DESIGNS,C8690,USB SSOP-28_208MIL ROHS,SSOP-28_208MIL,3,USB,FT232RL-REEL,https://datasheet.lcsc.com/szlcsc/Future-Designs-FT232RL-REEL_C8690.pdf,3.3976,,5.0,,,,
TEXAS INSTRUMENTS,C7426,GENERAL PURPOSE AMPLIFIERS GENERAL PURPOSE 2 ±5V ~ 15V 10MHZ 9 V/US SOIC-8_150MIL ROHS,SOIC-8_150MIL,31922,GENERAL PURPOSE AMPLIFIERS,NE5532DR,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-NE5532DR_C7426.pdf,0.2625,,5.0,,5.0,,
STC MICRO,C29985,STC LQFP-44_10X10X08P ROHS,LQFP-44_10X10X08P,9189,STC,STC15F2K60S2-28I-LQFP44G,https://datasheet.lcsc.com/szlcsc/STC-Micro-STC15F2K60S2-28I-LQFP44G_C29985.pdf,1.1689,,5.0,,,,
STMICROELECTRONICS,C46034,ST MICROELECTRONICS LQFP-64_10X10X05P ROHS,LQFP-64_10X10X05P,11780,ST MICROELECTRONICS,STM32F103R8T6,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM32F103R8T6_C46034.pdf,2.0033,,5.0,,,,
TEXAS INSTRUMENTS,C12084,CAN 1/1 1MBPS 3V ~ 3.6V SOIC-8_150MIL ROHS,SOIC-8_150MIL,15621,CAN,SN65HVD230DR,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-SN65HVD230DR_C12084.pdf,0.8264,,5.0,,3.0,,
SHENZHEN TITAN MICRO ELEC,C41327,LED DRIVERS SOP-28_300MIL ROHS,SOP-28_300MIL,4662,LED DRIVERS,TM1640,https://datasheet.lcsc.com/szlcsc/Shenzhen-Titan-Micro-Elec-TM1640_C41327.pdf,0.2331,,5.0,,,,
TEXAS INSTRUMENTS,C6521,4000 SERIES SP4T 2 3V ~ 20V SOIC-16_150MIL ROHS,SOIC-16_150MIL,3847,4000 SERIES,CD4052BM96,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-CD4052BM96_C6521.pdf,0.2128,,5.0,,3.0,,
UNIROYAL ELEC,C51721,CHIP RESISTOR - SURFACE MOUNT 3.9KOHMS ±1% 1/16W 0402 ROHS,0402,86540,CHIP RESISTOR - SURFACE MOUNT,0402WGF3901TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF3901TCE_C51721.pdf,0.0011,3900.0,1.0,Resistor,,3861.0,3939.0
CHANGJIANG ELECTRONICS TECH (CJ),C24278,TRANSISTORS (NPN/PNP) PNP 3A 30V SOT-89(SOT-89-3) ROHS,SOT-89,55812,TRANSISTORS (NPN/PNP),B772,https://datasheet.lcsc.com/szlcsc/Changjiang-Electronics-Tech-CJ-B772_C24278.pdf,0.0699,,5.0,,30.0,,
UNIROYAL ELEC,C4172,CHIP RESISTOR - SURFACE MOUNT 1.5MOHMS ±1% 1/10W 0603 ROHS,0603,31860,CHIP RESISTOR - SURFACE MOUNT,0603WAF1504T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1504T5E_C4172.pdf,0.0054,1500000.0,1.0,Resistor,,1485000.0,1515000.0
UNIROYAL ELEC,C17490,CHIP RESISTOR - SURFACE MOUNT 16KOHMS ±1% 1/8W 0805 ROHS,0805,26207,CHIP RESISTOR - SURFACE MOUNT,0805W8F1602T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F1602T5E_C17490.pdf,0.0033,16000.0,1.0,Resistor,,15840.0,16160.0
UNIROYAL ELEC,C17924,CHIP RESISTOR - SURFACE MOUNT 180OHMS ±1% 1/4W 1206 ROHS,1206,43721,CHIP RESISTOR - SURFACE MOUNT,1206W4F1800T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-1206W4F1800T5E_C17924.pdf,0.0072,180.0,1.0,Resistor,,178.2,181.8
UNIROYAL ELEC,C22938,CHIP RESISTOR - SURFACE MOUNT 2.2MOHMS ±1% 1/10W 0603 ROHS,0603,7633,CHIP RESISTOR - SURFACE MOUNT,0603WAF2204T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF2204T5E_C22938.pdf,0.0022,2200000.0,1.0,Resistor,,2178000.0,2222000.0
UNIROYAL ELEC,C25824,CHIP RESISTOR - SURFACE MOUNT 240KOHMS ±1% 1/8W 0805 ROHS,0805,146683,CHIP RESISTOR - SURFACE MOUNT,0805W8F2403T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F2403T5E_C25824.pdf,0.0032,240000.0,1.0,Resistor,,237600.0,242400.0
UNIROYAL ELEC,C17818,CHIP RESISTOR - SURFACE MOUNT 750OHMS ±1% 1/8W 0805 ROHS,0805,37993,CHIP RESISTOR - SURFACE MOUNT,0805W8F7500T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F7500T5E_C17818.pdf,0.0033,750.0,1.0,Resistor,,742.5,757.5
GUANGDONG FENGHUA ADVANCED TECH,C1552,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1.5PF 50V 0402 ROHS,0402,85667,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402CG1R5C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG1R5C500NT_C1552.pdf,0.0018,5e-12,5.0,Capacitor,50.0,4.75e-12,5.25e-12
