Manufacturer,LCSC Part #,Description,Package,Stock,Type,MFR.Part #,Datasheet,Price (USD),value,tolerance,type,voltage,min_value,max_value
UNIROYAL ELEC,C17828,CHIP RESISTOR - SURFACE MOUNT 8.2KOHMS ±1% 1/8W 0805 ROHS,0805,44273,CHIP RESISTOR - SURFACE MOUNT,0805W8F8201T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F8201T5E_C17828.pdf,0.0034,8200.0,1.0,Resistor,,8118.0,8282.0
UNIROYAL ELEC,C23159,CHIP RESISTOR - SURFACE MOUNT 4.3KOHMS ±1% 1/10W 0603 ROHS,0603,20891,CHIP RESISTOR - SURFACE MOUNT,0603WAF4301T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF4301T5E_C23159.pdf,0.0026,4300.0,1.0,Resistor,,4257.0,4343.0
UNIROYAL ELEC,C17709,CHIP RESISTOR - SURFACE MOUNT 470KOHMS ±1% 1/8W 0805 ROHS,0805,63645,CHIP RESISTOR - SURFACE MOUNT,0805W8F4703T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F4703T5E_C17709.pdf,0.0029,470000.0,1.0,Resistor,,465300.0,474700.0
UNIROYAL ELEC,C17733,CHIP RESISTOR - SURFACE MOUNT 510KOHMS ±1% 1/8W 0805 ROHS,0805,36675,CHIP RESISTOR - SURFACE MOUNT,0805W8F5103T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F5103T5E_C17733.pdf,0.0052,510000.0,1.0,Resistor,,504900.0,515100.0
UNIROYAL ELEC,C25908,CHIP RESISTOR - SURFACE MOUNT 5.6KOHMS ±1% 1/16W 0402 ROHS,0402,74629,CHIP RESISTOR - SURFACE MOUNT,0402WGF5601TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF5601TCE_C25908.pdf,0.0041,5600.0,1.0,Resistor,,5544.0,5656.0
UNIROYAL ELEC,C25796,CHIP RESISTOR - SURFACE MOUNT 56KOHMS ±1% 1/16W 0402 ROHS,0402,193488,CHIP RESISTOR - SURFACE MOUNT,0402WGF5602TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF5602TCE_C25796.pdf,0.0013,56000.0,1.0,Resistor,,55440.0,56560.0
UNIROYAL ELEC,C17767,CHIP RESISTOR - SURFACE MOUNT 6.2KOHMS ±1% 1/8W 0805 ROHS,0805,416621,CHIP RESISTOR - SURFACE MOUNT,0805W8F6201T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F6201T5E_C17767.pdf,0.0028,6200.0,1.0,Resistor,,6138.0,6262.0
UNIROYAL ELEC,C36871,CHIP RESISTOR - SURFACE MOUNT 68KOHMS ±1% 1/16W 0402 ROHS,0402,62651,CHIP RESISTOR - SURFACE MOUNT,0402WGF6802TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF6802TCE_C36871.pdf,0.0011,68000.0,1.0,Resistor,,67320.0,68680.0
UNIROYAL ELEC,C25822,CHIP RESISTOR - SURFACE MOUNT 680KOHMS ±1% 1/10W 0603 ROHS,0603,12872,CHIP RESISTOR - SURFACE MOUNT,0603WAF6803T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF6803T5E_C25822.pdf,0.0035,680000.0,1.0,Resistor,,673200.0,686800.0
CHANGJIANG ELECTRONICS TECH (CJ),C68978,SWITCHING DIODE 70V 200MA 1.25V @ 150MA 6NS SOT-23(SOT-23-3) ROHS,SOT-23,18715,SWITCHING DIODE,BAV70,https://datasheet.lcsc.com/szlcsc/Changjiang-Electronics-Tech-CJ-BAV70_C68978.pdf,0.0255,,5.0,,70.0,,
UNIROYAL ELEC,C17480,CHIP RESISTOR - SURFACE MOUNT 15OHMS ±1% 1/8W 0805 ROHS,0805,73247,CHIP RESISTOR - SURFACE MOUNT,0805W8F150JT5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F150JT5E_C17480.pdf,0.0033,15.0,1.0,Resistor,,14.85,15.15
UNIROYAL ELEC,C17471,CHIP RESISTOR - SURFACE MOUNT 150OHMS ±1% 1/8W 0805 ROHS,0805,82398,CHIP RESISTOR - SURFACE MOUNT,0805W8F1500T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F1500T5E_C17471.pdf,0.0028,150.0,1.0,Resistor,,148.5,151.5
UNIROYAL ELEC,C25755,CHIP RESISTOR - SURFACE MOUNT 150KOHMS ±1% 1/16W 0402 ROHS,0402,61719,CHIP RESISTOR - SURFACE MOUNT,0402WGF1503TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF1503TCE_C25755.pdf,0.0029,150000.0,1.0,Resistor,,148500.0,151500.0
YANGXING TECH,C13738,SMD CRYSTAL RESONATORS 16MHZ ±10PPM SMD-3225_4P ROHS,SMD-3225_4P,17197,SMD CRYSTAL RESONATORS,X322516MLB4SI,https://datasheet.lcsc.com/szlcsc/Yangxing-Tech-X322516MLB4SI_C13738.pdf,0.1055,,5.0,,,,
UNIROYAL ELEC,C17506,CHIP RESISTOR - SURFACE MOUNT 18KOHMS ±1% 1/8W 0805 ROHS,0805,28871,CHIP RESISTOR - SURFACE MOUNT,0805W8F1802T5E,https://datasheet.lcsc.com/szlcsc/1812121855_Uniroyal-Elec-0805W8F1802T5E_C17506.pdf,0.0037,18000.0,1.0,Resistor,,17820.0,18180.0
UNIROYAL ELEC,C25764,CHIP RESISTOR - SURFACE MOUNT 200KOHMS ±1% 1/16W 0402 ROHS,0402,37975,CHIP RESISTOR - SURFACE MOUNT,0402WGF2003TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF2003TCE_C25764.pdf,0.0023,200000.0,1.0,Resistor,,198000.0,202000.0
UNIROYAL ELEC,C25091,CHIP RESISTOR - SURFACE MOUNT 220OHMS ±1% 1/16W 0402 ROHS,0402,37200,CHIP RESISTOR - SURFACE MOUNT,0402WGF2200TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF2200TCE_C25091.pdf,0.0011,220.0,1.0,Resistor,,217.8,222.2
UNIROYAL ELEC,C17556,CHIP RESISTOR - SURFACE MOUNT 220KOHMS ±1% 1/8W 0805 ROHS,0805,8902,CHIP RESISTOR - SURFACE MOUNT,0805W8F2203T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F2203T5E_C17556.pdf,0.0033,220000.0,1.0,Resistor,,217800.0,222200.0
UNIROYAL ELEC,C23350,CHIP RESISTOR - SURFACE MOUNT 240OHMS ±1% 1/10W 0603 ROHS,0603,55548,CHIP RESISTOR - SURFACE MOUNT,0603WAF2400T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF2400T5E_C23350.pdf,0.0018,240.0,1.0,Resistor,,237.6,242.4
