Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C0402",30.000000,0.000000,0.000000,top
"C2","2.2µF","C0402",30.000000,20.000000,0.000000,top
"R1","10kΩ","R0402",30.000000,10.000000,0.000000,top
"U2","","TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL",0.000000,0.000000,0.000000,top
